Address,Employment_Status,Rent_vs_Own,Household_Size,Average_Age_of_Residents,Median_Household_Income
43 Scholar’s Walk,Full-Time,Own,3,54,52689.40745
121 Library Lane,Part-Time,Rent,6,39,33121.07458
123 Albert Walk,Full-Time,Own,2,53,52952.75594
123 Exam Square,Unemployed,Rent,1,59,9862.863635
88 Willow Heights,Full-Time,Own,3,57,58149.945
129 Academic Crescent,Full-Time,Rent,6,47,40071.84683
137 Union Street,Full-Time,Rent,2,47,40954.49118
110 Lavender Park,Full-Time,Own,1,54,49730.27952
175 Primrose Avenue,Part-Time,Rent,6,40,26966.9265
177 Chestnut Mews,Full-Time,Rent,1,57,48608.09434
183 Town Gate,Part-Time,Rent,5,51,27446.16809
3 Seminar Terrace,Unemployed,Rent,1,34,8924.988826
99 Cedar Crescent,Full-Time,Rent,6,44,58460.64429
14 Parliament Street,Full-Time,Own,3,28,44332.93145
67 Market Lane,Retired,Own,2,44,20914.72143
124 Exam Square,Part-Time,Own,3,39,26708.70471
16 Cross Keys Way,Full-Time,Rent,6,39,48544.39467
104 Pillory Hill,Full-Time,Rent,4,41,44466.29451
96 Cedar Crescent,Retired,Rent,1,44,20977.23233
146 Maple Drive,Full-Time,Own,5,41,45373.29289
1 Scholar’s Walk,Unemployed,Rent,2,36,11625.84706
157 Lavender Park,Full-Time,Rent,5,35,55054.06407
152 Blossom Rise,Full-Time,Rent,3,54,44666.01591
152 Dean’s View,Unemployed,Rent,3,50,10428.63821
95 Parliament Street,Full-Time,Own,6,49,57121.82173
164 Willow Heights,Full-Time,Rent,4,41,59419.35684
19 Union Street,Full-Time,Rent,5,25,41485.54134
9 Lavender Park,Part-Time,Rent,3,50,26445.57216
181 Ivy Boulevard,Full-Time,Own,6,27,58869.25572
75 Mill Street,Full-Time,Own,5,35,57696.26046
171 Merchant Street,Full-Time,Rent,3,52,45981.46256
41 Parliament Street,Full-Time,Rent,5,52,43953.98988
141 Butcher’s Row,Full-Time,Own,6,54,56307.8938
171 College Crescent,Retired,Own,1,59,21052.20027
54 Butcher’s Row,Full-Time,Rent,1,31,52396.93262
140 Research Boulevard,Part-Time,Own,3,57,34891.39494
89 Crown Street,Full-Time,Rent,6,51,43601.01561
39 Magnolia Row,Full-Time,Own,6,53,42503.38494
10 Town Gate,Full-Time,Own,6,51,52865.81527
165 Primrose Avenue,Full-Time,Own,6,55,52283.95387
179 Ivy Boulevard,Full-Time,Own,6,29,41345.54267
152 High Street,Part-Time,Rent,5,58,28334.86991
33 Town Gate,Retired,Own,1,45,29269.04293
3 Faculty Court,Full-Time,Own,1,50,44596.00917
80 Birch Grove,Part-Time,Own,4,29,30345.07469
145 Oak Lane,Full-Time,Own,1,57,47050.44492
190 Scholar’s Walk,Full-Time,Own,2,26,58089.61968
119 Bell Tower Street,Full-Time,Own,2,47,50413.38624
107 Prince’s Gate,Full-Time,Own,2,53,49008.48302
74 Ivy Boulevard,Full-Time,Own,2,42,57831.04742
52 George Square,Part-Time,Own,2,59,31730.3557
97 Bell Tower Street,Full-Time,Rent,5,34,47143.01677
105 Academic Crescent,Full-Time,Own,3,57,59862.50109
169 Prince’s Gate,Part-Time,Own,5,56,34989.71264
145 The Old Yard,Full-Time,Own,5,47,45291.91258
77 Queen Avenue,Part-Time,Rent,1,25,24406.54883
105 Exchange Place,Full-Time,Own,1,41,42416.48791
194 Primrose Avenue,Full-Time,Rent,5,51,43092.98753
165 Campus Avenue,Unemployed,Rent,2,25,10939.63327
141 Lavender Park,Full-Time,Own,4,38,47521.76956
7 Lecture Hall Lane,Unemployed,Rent,3,28,9356.816422
61 Abbey Lane,Full-Time,Own,2,56,51175.78841
183 Rosehip Road,Full-Time,Rent,1,45,42710.64807
193 Dean’s View,Full-Time,Own,5,26,45517.33651
85 George Square,Full-Time,Rent,6,49,49698.88273
84 Town Gate,Full-Time,Own,6,38,49370.29137
149 Stable Mews,Full-Time,Own,1,37,52232.89104
20 Research Boulevard,Full-Time,Own,3,43,46198.1175
62 The Green,Full-Time,Own,5,36,47645.99087
80 Exam Square,Unemployed,Rent,4,55,8253.505866
41 Academic Crescent,Full-Time,Own,5,58,52980.67964
107 Old Forge Lane,Part-Time,Rent,1,47,29991.77363
40 Academic Crescent,Unemployed,Rent,2,33,8167.229632
180 Chancellor Road,Full-Time,Rent,1,40,50095.06476
117 Mill Street,Full-Time,Own,3,48,45224.0593
1 The Old Yard,Full-Time,Own,4,32,42934.23876
193 Mill Street,Full-Time,Own,6,55,40102.03453
188 Freshers Row,Full-Time,Own,3,56,59630.29417
83 Aspen Gardens,Full-Time,Rent,3,47,58958.77492
156 Maple Drive,Full-Time,Rent,2,56,56497.86183
21 Grand Arcade,Full-Time,Rent,1,47,44322.48404
131 Cross Keys Way,Full-Time,Own,2,47,57376.73244
139 Ivy Boulevard,Full-Time,Own,2,57,57943.88586
110 Victoria Parade,Full-Time,Rent,5,50,41632.37439
85 High Street,Part-Time,Own,1,27,30257.98933
160 Old Forge Lane,Part-Time,Rent,6,25,25282.75372
3 Station Road,Full-Time,Own,5,37,50662.16445
57 Lecture Hall Lane,Unemployed,Rent,6,51,11377.27385
197 Victoria Parade,Full-Time,Own,1,51,52532.98559
43 Exchange Place,Full-Time,Rent,2,46,41258.94573
195 Bluebell View,Full-Time,Own,4,35,40196.6296
177 Bridge Street,Full-Time,Own,5,39,41885.77562
4 Cathedral Row,Part-Time,Rent,1,54,34904.79062
139 Lab Street,Retired,Own,1,42,29852.52977
147 Parliament Street,Part-Time,Own,1,48,29800.88925
31 Market Lane,Full-Time,Own,5,56,47141.6233
36 Seminar Terrace,Full-Time,Rent,4,46,46886.36423
50 Study Mews,Full-Time,Own,1,29,48499.54775
131 College Road,Part-Time,Own,4,29,28743.32514
10 Cross Keys Way,Full-Time,Own,6,46,55344.7254
83 Lab Street,Unemployed,Rent,4,46,10112.99274
173 Maple Drive,Part-Time,Rent,6,31,25036.77893
161 Magnolia Row,Part-Time,Rent,5,59,25333.4267
73 Pillory Hill,Part-Time,Rent,3,34,28670.14638
98 George Square,Full-Time,Rent,2,36,45383.93603
143 Merchant Street,Part-Time,Rent,3,47,28442.33213
24 Graduation Way,Unemployed,Rent,3,37,8374.671523
62 Scholar’s Walk,Unemployed,Rent,5,27,11627.26036
95 King Street,Full-Time,Rent,3,30,56564.98702
11 Study Mews,Part-Time,Own,3,54,30713.18742
71 Prince’s Gate,Retired,Own,1,27,25711.58961
153 School House Lane,Part-Time,Rent,2,26,30049.56249
179 Primrose Avenue,Full-Time,Rent,3,54,44565.22968
150 Scholar’s Walk,Unemployed,Rent,2,52,10617.44407
181 High Street,Full-Time,Rent,5,58,41834.19557
82 Seminar Terrace,Full-Time,Own,4,55,51689.66163
176 Research Boulevard,Full-Time,Rent,1,41,48803.49558
28 Study Mews,Full-Time,Rent,5,33,41155.93675
74 Manor Row,Full-Time,Rent,2,44,48650.11357
90 Cedar Crescent,Full-Time,Rent,3,37,51826.74203
148 Sycamore Way,Part-Time,Rent,6,51,24955.15496
164 Clock Tower Road,Retired,Own,1,28,22984.15926
8 Juniper Walk,Part-Time,Own,6,51,26429.65228
57 Graduation Way,Unemployed,Rent,3,32,8095.122078
161 Old Forge Lane,Full-Time,Rent,1,33,41635.02804
184 Campus Avenue,Full-Time,Own,4,45,43781.52902
2 Union Street,Part-Time,Rent,4,59,31198.81916
197 Poppy Crescent,Part-Time,Own,5,52,35318.7327
161 School House Lane,Part-Time,Rent,1,51,31882.74573
58 Market Cross Road,Full-Time,Own,5,31,59608.84481
120 Library Lane,Full-Time,Rent,6,58,59355.66141
131 Merchant Street,Full-Time,Own,6,38,50411.63766
130 Bluebell View,Full-Time,Own,1,53,44438.4054
94 Academic Crescent,Unemployed,Rent,1,53,11652.30261
14 Academic Crescent,Full-Time,Rent,4,45,50707.2061
142 Lecture Hall Lane,Unemployed,Rent,1,26,8607.435736
120 King Street,Full-Time,Own,1,34,47571.34747
21 Merchant Street,Part-Time,Rent,2,48,28005.97596
60 Merchant Street,Retired,Own,2,51,23601.80574
68 Oak Lane,Full-Time,Rent,4,56,41985.97459
179 Clock Tower Road,Full-Time,Own,4,47,49230.16862
17 Heritage Close,Full-Time,Own,4,45,50520.89064
52 Study Mews,Full-Time,Rent,3,46,57529.11499
134 Maple Drive,Part-Time,Own,5,47,24771.13606
182 Butcher’s Row,Full-Time,Rent,1,36,56215.34097
40 Castle Lane,Part-Time,Own,3,37,31540.49345
116 Alumni Grove,Full-Time,Own,4,58,59332.54958
147 Market Lane,Full-Time,Own,4,49,56567.35916
129 Castle View,Retired,Own,1,26,24508.96538
77 Union Street,Full-Time,Rent,3,45,55585.79839
157 Ivy Boulevard,Part-Time,Own,3,55,35072.38194
152 Old Forge Lane,Full-Time,Own,2,42,49919.38722
47 Magnolia Row,Retired,Own,2,40,22662.34067
65 Varsity Place,Retired,Rent,2,38,24046.55342
185 Poppy Crescent,Full-Time,Rent,1,57,48457.26248
106 Cedar Crescent,Full-Time,Own,2,31,52031.32601
9 King Street,Full-Time,Own,2,28,52003.46062
13 Church Road,Part-Time,Rent,4,35,24397.87629
21 Scholar’s Walk,Retired,Own,1,30,23766.49645
165 Butcher’s Row,Part-Time,Own,3,31,32018.91649
162 Seminar Terrace,Unemployed,Rent,2,54,8445.326497
53 College Road,Full-Time,Own,3,47,44298.47831
104 Horizon Close,Retired,Own,2,52,27309.34085
187 Merchant Street,Full-Time,Rent,5,59,53222.53642
132 Scholar’s Walk,Full-Time,Own,5,25,46914.79155
63 Varsity Place,Unemployed,Rent,2,48,11969.51544
59 Campus Avenue,Part-Time,Own,5,52,27729.47565
151 Library Lane,Unemployed,Rent,3,58,8988.732615
163 Dean’s View,Unemployed,Rent,3,41,9364.424172
54 Cathedral Row,Part-Time,Own,6,48,33011.17112
194 Horizon Close,Full-Time,Own,6,55,41847.6097
86 Faculty Court,Part-Time,Rent,6,44,27451.62238
24 Rosehip Road,Full-Time,Own,5,53,52158.59885
30 Varsity Place,Full-Time,Rent,5,52,57297.07615
195 Rosehip Road,Part-Time,Own,1,38,29235.86775
98 Varsity Place,Retired,Rent,1,50,23805.38998
34 Chancellor Road,Unemployed,Rent,1,35,9403.182517
123 Scholar’s Walk,Full-Time,Own,3,40,41060.74955
7 Dean’s View,Unemployed,Rent,3,53,11752.76844
79 Juniper Walk,Retired,Own,2,51,20442.42222
88 Research Boulevard,Full-Time,Rent,4,53,51237.85531
138 Academic Crescent,Full-Time,Own,1,52,55869.74486
62 Castle View,Full-Time,Rent,4,56,57134.1776
54 Manor Row,Full-Time,Own,5,51,43693.09236
94 Station Road,Full-Time,Own,6,35,40650.97646
120 High Street,Full-Time,Own,6,32,55367.95261
179 Albert Walk,Part-Time,Rent,3,28,24736.78749
32 Castle Lane,Full-Time,Rent,2,36,48740.92142
38 College Crescent,Retired,Rent,1,56,23549.44519
103 Seminar Terrace,Full-Time,Own,4,36,42684.70266
54 The Old Yard,Full-Time,Rent,5,49,50624.25996
75 Professor’s Close,Full-Time,Own,5,48,43022.88631
132 Town Gate,Retired,Own,1,44,26643.10261
41 Cobbler’s Alley,Full-Time,Own,1,31,55936.30005
113 Willow Heights,Full-Time,Rent,2,56,44624.82759
135 Ivy Boulevard,Part-Time,Own,2,30,32881.67345
23 Bell Tower Street,Full-Time,Own,1,43,52929.15091
132 Exam Square,Unemployed,Rent,1,42,9079.031118
60 The Old Yard,Full-Time,Own,2,36,43903.03489
182 Campus Avenue,Unemployed,Rent,1,34,11497.92327
56 Seminar Terrace,Part-Time,Rent,3,47,26417.93196
128 Faculty Court,Full-Time,Rent,5,42,41571.52006
124 Market Cross Road,Full-Time,Own,5,45,46362.28331
147 Exchange Place,Full-Time,Rent,4,37,58090.84884
186 Scholar’s Walk,Unemployed,Rent,2,26,10343.45354
157 Merchant Street,Part-Time,Rent,5,26,32618.74706
166 Lecture Hall Lane,Unemployed,Rent,5,42,8875.280756
62 Abbey Lane,Full-Time,Own,5,59,49877.39794
86 Merchant Street,Part-Time,Rent,1,58,33492.0394
87 Aspen Gardens,Full-Time,Own,1,34,47396.23636
54 Varsity Place,Full-Time,Own,5,56,54323.78398
147 Library Lane,Full-Time,Own,3,49,51664.70277
23 Library Lane,Unemployed,Rent,1,48,9341.351761
61 Union Street,Full-Time,Rent,5,45,48272.4258
176 College Road,Full-Time,Own,4,58,54726.24216
71 Study Mews,Unemployed,Rent,5,50,10995.00694
175 Lavender Park,Full-Time,Own,6,29,57829.04032
17 The Green,Part-Time,Own,6,30,30467.06072
10 Chancellor Road,Retired,Rent,2,56,24438.29059
166 Library Lane,Full-Time,Rent,2,56,55620.10494
41 Scholar’s Walk,Unemployed,Rent,4,32,9543.787233
199 Lab Street,Full-Time,Rent,4,42,51863.99416
190 Town Gate,Full-Time,Own,3,25,55206.91325
121 Scholar’s Walk,Unemployed,Rent,5,48,11699.91178
111 College Road,Retired,Own,2,41,28887.71538
22 Dahlia Court,Full-Time,Rent,6,42,53213.06294
144 George Square,Full-Time,Own,3,44,40410.698
174 Abbey Lane,Full-Time,Own,2,50,54769.88801
17 Lecture Hall Lane,Retired,Own,1,54,23312.22373
17 Chestnut Mews,Retired,Rent,2,51,28334.83761
115 Church Road,Full-Time,Own,3,47,40535.92235
94 Chancellor Road,Unemployed,Rent,6,50,8453.049179
134 Bridge Street,Part-Time,Own,2,29,32277.49568
17 Friar’s Court,Full-Time,Rent,4,38,45317.10825
106 Heritage Close,Full-Time,Rent,3,59,46357.07183
191 Merchant Street,Full-Time,Own,4,56,48004.98492
161 Research Boulevard,Unemployed,Rent,4,28,8760.591291
63 Campus Avenue,Full-Time,Rent,6,46,57189.30846
89 Chancellor Road,Unemployed,Rent,6,57,8353.099163
133 Union Street,Retired,Rent,1,37,21701.28956
144 Willow Heights,Full-Time,Own,2,32,47626.84031
196 Butcher’s Row,Part-Time,Rent,4,33,28509.76915
126 Willow Heights,Full-Time,Rent,6,52,41037.43406
18 Grand Arcade,Retired,Own,1,25,23384.52045
27 Graduation Way,Unemployed,Rent,3,39,11057.37051
100 Birch Grove,Part-Time,Rent,1,31,34686.46229
58 Chestnut Mews,Retired,Rent,2,41,21239.24548
9 Cross Keys Way,Full-Time,Rent,6,36,53030.21982
18 Heritage Close,Full-Time,Own,1,53,58531.83235
65 Dean’s View,Unemployed,Rent,3,38,9199.664914
32 Scholar’s Walk,Full-Time,Own,1,37,57531.04107
48 Research Boulevard,Retired,Own,1,56,21564.91133
123 Clock Tower Road,Part-Time,Own,6,49,34331.71611
53 Bridge Street,Full-Time,Rent,3,51,48534.826
1 Bell Tower Street,Full-Time,Rent,4,48,56507.27486
1 Chestnut Mews,Full-Time,Own,4,37,44210.99919
138 Church Road,Full-Time,Rent,2,53,41378.79006
109 Bridge Street,Full-Time,Own,6,54,51916.40503
9 Graduation Way,Unemployed,Rent,5,51,9065.415289
15 King Street,Full-Time,Own,2,31,56131.64126
136 Graduation Way,Full-Time,Own,3,37,56495.58129
90 The Old Yard,Full-Time,Own,1,31,54468.56279
10 Manor Row,Full-Time,Own,6,59,49954.01081
26 Silverleaf Way,Retired,Own,1,30,29231.55421
169 Castle View,Full-Time,Rent,4,46,51710.09246
89 Union Street,Full-Time,Own,2,38,43601.31751
133 Research Boulevard,Unemployed,Rent,1,45,10327.88013
107 Library Lane,Full-Time,Own,4,42,51517.98646
2 Albert Walk,Full-Time,Rent,4,53,52802.41237
30 Oak Lane,Retired,Own,1,50,20992.98272
44 Victoria Parade,Part-Time,Rent,4,52,32264.23723
100 Academic Crescent,Full-Time,Own,4,35,48066.06553
30 College Road,Unemployed,Rent,4,41,10441.80438
64 Bell Tower Street,Full-Time,Own,1,36,58415.89825
58 Cedar Crescent,Full-Time,Own,1,52,46772.73178
193 Graduation Way,Unemployed,Rent,4,48,10207.20602
31 Academic Crescent,Retired,Own,2,55,27703.46055
104 Albert Walk,Full-Time,Rent,4,53,42424.03857
139 Campus Avenue,Full-Time,Own,5,29,47085.29377
52 Heritage Close,Part-Time,Own,5,59,25632.59404
38 Freshers Row,Retired,Own,1,37,28397.23039
57 Bell Tower Street,Part-Time,Own,5,33,33263.30561
120 Sycamore Way,Part-Time,Own,2,55,27800.26416
86 King Street,Full-Time,Own,2,47,40585.78041
4 Victoria Parade,Part-Time,Own,2,40,28915.0366
110 Faculty Court,Unemployed,Rent,2,44,8069.46429
145 Primrose Avenue,Full-Time,Own,4,32,45843.23826
150 Manor Row,Full-Time,Rent,6,41,44205.16961
146 Union Street,Full-Time,Own,1,43,44668.89476
90 Abbey Lane,Full-Time,Rent,5,51,53792.92493
85 Sycamore Way,Full-Time,Rent,5,39,54174.24039
120 Exam Square,Full-Time,Rent,5,48,54126.17131
71 College Crescent,Full-Time,Own,2,29,56403.06382
31 Scholar’s Walk,Unemployed,Rent,3,33,11173.57917
125 Clock Tower Road,Full-Time,Rent,1,49,52543.71239
130 Primrose Avenue,Retired,Own,1,39,22269.54053
184 Silverleaf Way,Part-Time,Rent,5,51,28243.41851
116 Poppy Crescent,Full-Time,Rent,3,30,48234.82286
66 Blossom Rise,Full-Time,Rent,4,40,54138.94691
187 Poppy Crescent,Part-Time,Own,3,53,30436.78363
76 Professor’s Close,Full-Time,Own,3,57,54847.5658
22 Market Cross Road,Retired,Own,2,42,21588.75605
21 Crown Street,Full-Time,Rent,3,25,44646.66274
92 Dahlia Court,Full-Time,Own,2,37,41144.67969
165 High Street,Full-Time,Own,6,30,51702.68112
156 Poppy Crescent,Part-Time,Rent,1,44,35582.27082
128 Scholar’s Walk,Unemployed,Rent,4,58,10173.84834
73 The Green,Full-Time,Rent,1,42,44409.06616
119 Station Road,Part-Time,Own,2,31,31396.6218
51 Exchange Place,Full-Time,Rent,3,40,53599.9481
68 Birch Grove,Part-Time,Rent,5,38,30934.25014
111 Library Lane,Full-Time,Own,1,38,47441.50438
13 Scholar’s Walk,Part-Time,Own,3,28,33956.93123
160 Prince’s Gate,Full-Time,Rent,1,38,49831.72301
69 Study Mews,Full-Time,Own,3,25,59782.17784
60 School House Lane,Part-Time,Rent,5,57,26920.29998
146 Market Cross Road,Part-Time,Own,6,32,26679.01545
18 Professor’s Close,Part-Time,Rent,2,51,24902.41304
28 Professor’s Close,Full-Time,Own,1,57,47978.46468
197 School House Lane,Part-Time,Own,4,54,26981.4499
7 Research Boulevard,Full-Time,Rent,2,44,56664.59832
147 Research Boulevard,Retired,Own,2,30,25199.54655
143 Rosehip Road,Retired,Rent,1,25,20601.18347
2 Chestnut Mews,Part-Time,Rent,3,33,28289.44309
121 Academic Crescent,Retired,Rent,1,56,26956.13839
165 College Road,Retired,Rent,2,57,24858.59156
29 Primrose Avenue,Full-Time,Own,6,42,47035.74809
159 Rosehip Road,Retired,Rent,1,43,21551.87801
127 Academic Crescent,Full-Time,Own,4,57,53310.99752
167 Dahlia Court,Full-Time,Own,6,29,43555.17184
15 Stable Mews,Retired,Own,1,36,28702.57296
81 Clock Tower Road,Full-Time,Own,4,25,59786.60203
131 School House Lane,Part-Time,Own,5,30,30632.31741
164 Magnolia Row,Retired,Own,1,41,21171.20778
40 The Green,Full-Time,Own,1,32,53710.85873
27 Victoria Parade,Full-Time,Own,6,29,42657.89603
60 Primrose Avenue,Part-Time,Own,1,59,34822.77369
175 Faculty Court,Unemployed,Rent,3,52,10343.86778
179 Professor’s Close,Unemployed,Rent,4,39,11201.40089
117 Chancellor Road,Unemployed,Rent,4,52,10499.60817
5 Silverleaf Way,Full-Time,Own,5,48,50519.96659
149 Academic Crescent,Full-Time,Rent,1,50,50504.53736
168 Silverleaf Way,Part-Time,Own,2,32,32872.98238
175 Prince’s Gate,Part-Time,Own,3,59,34830.78783
143 Station Road,Full-Time,Own,4,40,44378.62341
157 Queen Avenue,Full-Time,Own,3,31,42277.5328
163 Station Road,Full-Time,Rent,4,41,41127.75613
26 Library Lane,Unemployed,Rent,6,59,11466.92563
175 Birch Grove,Retired,Own,1,55,21223.88114
118 Sycamore Way,Full-Time,Rent,4,31,52574.0447
130 Castle View,Full-Time,Rent,3,27,46265.05969
16 Dean’s View,Full-Time,Rent,3,42,51265.59594
168 Faculty Court,Retired,Own,2,51,20849.41778
118 Pillory Hill,Retired,Rent,1,41,25803.18571
53 Stable Mews,Part-Time,Own,4,56,34535.33363
92 Magnolia Row,Full-Time,Rent,1,35,45318.81547
119 Juniper Walk,Full-Time,Rent,3,36,46434.84675
54 Horizon Close,Full-Time,Own,2,36,44362.24274
46 Research Boulevard,Retired,Own,1,36,21298.36624
185 Scholar’s Walk,Full-Time,Own,1,44,41447.91389
147 Dean’s View,Unemployed,Rent,3,27,10680.99047
116 Market Lane,Full-Time,Rent,5,55,46929.26623
55 Victoria Parade,Full-Time,Rent,5,29,49161.61907
64 Alumni Grove,Unemployed,Rent,3,44,9286.8989
175 Cathedral Row,Part-Time,Own,1,25,32931.93581
164 Freshers Row,Unemployed,Rent,3,35,10730.77538
157 Scholar’s Walk,Unemployed,Rent,1,55,10662.89215
25 Abbey Lane,Full-Time,Rent,6,48,55318.01057
189 Queen Avenue,Full-Time,Rent,3,39,51659.38622
108 Dean’s View,Unemployed,Rent,6,26,8388.993597
109 Clock Tower Road,Full-Time,Rent,2,53,48456.26334
162 Poppy Crescent,Full-Time,Own,6,46,46335.76011
13 Crown Street,Retired,Own,1,35,23424.29474
39 Research Boulevard,Unemployed,Rent,4,55,8783.999092
55 Dean’s View,Unemployed,Rent,6,44,8644.049322
101 Lavender Park,Full-Time,Rent,5,39,49327.15085
133 Chancellor Road,Unemployed,Rent,4,59,11884.97528
108 Research Boulevard,Retired,Own,2,41,20222.9241
179 Poppy Crescent,Part-Time,Own,5,28,27390.04987
156 Cathedral Row,Full-Time,Rent,3,55,59313.40101
174 King Street,Full-Time,Rent,4,53,47132.50714
85 Lecture Hall Lane,Unemployed,Rent,5,54,10618.1229
82 Alumni Grove,Unemployed,Rent,3,29,9070.344855
29 Lecture Hall Lane,Full-Time,Own,5,53,50841.35243
169 Abbey Lane,Full-Time,Own,2,44,43470.61496
20 Rosehip Road,Part-Time,Rent,5,33,30464.23363
117 Crown Street,Part-Time,Own,2,38,29751.16348
94 Graduation Way,Full-Time,Own,6,42,56696.47044
5 Castle View,Full-Time,Rent,5,41,56080.71302
180 Birch Grove,Part-Time,Own,5,41,26188.20341
198 Maple Drive,Full-Time,Rent,5,30,58805.54753
3 Rosehip Road,Full-Time,Own,2,45,47788.65993
183 Parliament Street,Part-Time,Own,3,34,24607.09819
31 Lavender Park,Full-Time,Rent,4,52,41530.79215
151 Chancellor Road,Unemployed,Rent,5,45,9674.628133
8 Alumni Grove,Unemployed,Rent,6,25,11549.75492
7 Campus Avenue,Part-Time,Rent,4,28,25875.79232
22 Study Mews,Retired,Own,1,30,24806.69164
45 Library Lane,Full-Time,Own,2,49,50776.45017
13 Birch Grove,Full-Time,Own,1,25,57824.59098
129 Study Mews,Full-Time,Own,1,59,40248.18406
84 Lecture Hall Lane,Unemployed,Rent,1,27,11560.96537
28 Station Road,Full-Time,Rent,5,48,45401.85919
188 Union Street,Full-Time,Own,4,47,57429.75736
178 Parliament Street,Full-Time,Rent,1,50,48480.41827
42 Professor’s Close,Unemployed,Rent,6,29,9309.516756
31 Seminar Terrace,Part-Time,Own,5,58,35879.42656
140 Chancellor Road,Full-Time,Own,5,38,55649.48879
189 Scholar’s Walk,Retired,Own,1,48,24851.86146
64 Professor’s Close,Unemployed,Rent,2,57,9494.401403
111 Chancellor Road,Full-Time,Rent,6,41,46388.86826
152 Rosehip Road,Full-Time,Own,3,57,53833.28308
175 The Old Yard,Full-Time,Own,2,39,48333.60358
99 Campus Avenue,Unemployed,Rent,4,59,10599.46142
107 Butcher’s Row,Full-Time,Own,5,38,48310.23494
94 Dean’s View,Full-Time,Rent,2,25,47429.50171
195 Crown Street,Part-Time,Rent,1,38,27980.95707
27 Academic Crescent,Retired,Own,1,36,29189.36698
28 Dean’s View,Unemployed,Rent,3,59,11065.45263
